side,entry_time,entry_price,units,sl_price,tp_price,entry_commission,entry_prob,exit_time,exit_price,exit_commission,pnl,exit_reason
long,2025-08-21 07:00:00+00:00,3378.89990234375,1.4797715660448492,3370.4285714285716,3397.9603969029017,0.0,0.5425799274884641,2025-08-21 09:00:00+00:00,3382.0,0.0,4.587436363681029,Strategy Exit
long,2025-08-21 17:00:00+00:00,3384.0,1.477541371158392,3368.771414620536,3418.264317103795,0.0,0.5425799274884641,2025-08-21 22:00:00+00:00,3383.300048828125,0.0,-1.0342068142361107,Strategy Exit
long,2025-08-22 00:00:00+00:00,3382.5,1.4781966001478193,3368.8000139508927,3413.324968610491,0.0,0.5425799274884641,2025-08-22 06:00:00+00:00,3368.8000139508927,0.0,-20.25127279986302,SL
long,2025-08-22 06:00:00+00:00,3372.89990234375,1.48240390902962,3364.3427734375,3392.1534423828125,0.0,0.5425799274884641,2025-08-22 07:00:00+00:00,3371.699951171875,0.0,-1.7788123078321734,Strategy Exit
long,2025-08-22 19:00:00+00:00,3418.10009765625,1.4628009295071371,3399.0857282366073,3460.8824288504466,0.0,0.5409377684858989,2025-08-24 22:00:00+00:00,3417.60009765625,0.0,-0.7314004647535686,Strategy Exit
long,2025-08-24 23:00:00+00:00,3413.10009765625,1.464943850733666,3395.071463448661,3453.664524623326,0.0,0.5409377684858989,2025-08-25 02:00:00+00:00,3407.89990234375,0.0,-7.61799414566091,Strategy Exit
long,2025-08-25 05:00:00+00:00,3410.39990234375,1.466103724834093,3393.28564453125,3448.906982421875,0.0,0.5425799274884641,2025-08-25 12:00:00+00:00,3415.699951171875,0.0,7.7704213287166315,Strategy Exit
long,2025-08-25 13:00:00+00:00,3409.10009765625,1.4666627135523211,3398.9144461495534,3432.017813546317,0.0,0.5563148375648376,2025-08-25 15:00:00+00:00,3418.60009765625,0.0,13.93329577874705,Strategy Exit
long,2025-08-25 18:00:00+00:00,3415.60009765625,1.4638716058800174,3405.3001534598216,3438.774972098214,0.0,0.5425799274884641,2025-08-25 23:00:00+00:00,3405.3001534598216,0.0,-15.077795851300268,SL
long,2025-08-25 23:00:00+00:00,3408.199951171875,1.4670500767658303,3398.1714913504466,3430.763985770089,0.0,0.5425799274884641,2025-08-26 00:00:00+00:00,3398.1714913504466,0.0,-14.71225275086964,SL
long,2025-08-26 00:00:00+00:00,3399.699951171875,1.47071802565297,3388.428641183036,3425.0603986467636,0.0,0.5432268671824335,2025-08-26 01:00:00+00:00,3425.0603986467636,0.0,37.29806723994399,TP
long,2025-08-26 03:00:00+00:00,3422.89990234375,1.4607496983994088,3405.642892020089,3461.7281755719864,0.0,0.5425799274884641,2025-08-26 16:00:00+00:00,3435.199951171875,0.0,17.967292615981595,Strategy Exit
long,2025-08-26 17:00:00+00:00,3432.199951171875,1.4567915829882874,3415.8857073102677,3468.906999860491,0.0,0.5425799274884641,2025-08-26 22:00:00+00:00,3443.0,0.0,15.733420228675017,Strategy Exit
long,2025-08-27 01:00:00+00:00,3438.800048828125,1.4539955592078986,3424.4000418526784,3471.2000645228795,0.0,0.548262422152016,2025-08-27 05:00:00+00:00,3424.4000418526784,0.0,-20.93754619486206,SL
long,2025-08-27 06:00:00+00:00,3426.800048828125,1.459087174260391,3415.7857840401784,3451.5821446010045,0.0,0.5563148375648376,2025-08-27 09:00:00+00:00,3433.0,0.0,9.046269235923493,Strategy Exit
